ADDR,LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 12",55.387898,37.140576,8664400,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 12",1964,10.12.2015 в 14:56,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,5,1,3,60,60,0,2556.04,1695.20,0.00,2556.04,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 13",55.412774,37.186264,8664409,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 13",1962,10.12.2015 в 14:57,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,5,1,3,60,60,0,2618.40,1742.90,0.00,2618.40,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 14",55.387898,37.140576,8664417,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 14",1965,10.12.2015 в 14:58,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,5,1,4,80,80,0,3260.00,2139.70,0.00,3260.00,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 15",55.412518,37.185707,8664457,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 15",1965,02.11.2015 в 08:43,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,5,1,3,60,60,0,2613.99,1746.30,0.00,2613.99,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 16",55.387898,37.140576,8664374,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 16",1967,10.12.2015 в 15:07,01.04.2012,нет,Специализированный жилищный фонд,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,5,1,3,116,116,0,2928.00,2386.79,114.00,2928.00,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 17",55.387898,37.140576,8664492,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 17",1969,10.12.2015 в 15:15,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,5,1,6,90,90,0,4383.01,3059.80,0.00,4383.01,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 18",55.387898,37.140576,8664959,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 18",1974,10.12.2015 в 15:21,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,5,1,3,60,60,0,2556.20,1669.60,0.00,2556.20,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 19",55.411281,37.182806,8664961,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 19",1976,10.12.2015 в 15:51,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,5,1,8,119,119,0,5495.80,3726.80,0.00,5495.80,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 2",55.387898,37.140576,8656612,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 2",1963,10.12.2015 в 16:04,01.04.2012,нет,Многоквартирный дом,На специальном счете у регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,4,1,3,48,48,0,2027.50,1354.20,0.00,2027.50,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 3",55.387898,37.140576,8659044,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 3",1963,10.12.2015 в 13:57,01.04.2012,нет,Многоквартирный дом,На специальном счете у регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,3,1,3,36,36,0,1515.60,994.00,0.00,1515.60,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 4",55.413387,37.192175,8664963,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 4",1962,10.12.2015 в 13:59,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,3,1,3,30,30,0,1497.70,1018.50,0.00,1497.70,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 5",55.387898,37.140576,8664964,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 5",1963,10.12.2015 в 14:01,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,4,1,3,48,48,0,2039.00,1359.30,0.00,2039.00,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 6",55.387898,37.140576,8664966,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 6",1964,10.12.2015 в 14:02,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,4,1,3,48,48,0,2072.60,1377.90,0.00,2072.60,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 7",55.387898,37.140576,8664967,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 7",1964,10.12.2015 в 14:05,01.04.2012,нет,Многоквартирный дом,Не заполнено,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,5,1,4,80,80,0,3069.70,2027.90,54.20,3069.70,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
"поселение Михайлово-Ярцевское, посёлок Шишкин Лес, дом 8",55.387898,37.140576,8664968,"г. Москва, п. Михайлово-Ярцевское, п. Шишкин Лес, д. 8",1964,10.12.2015 в 14:07,01.04.2012,нет,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Шишкин Лес""",http://www.reformagkh.ru/mymanager/profile/8234387/,Нет,5,1,4,80,80,0,3130.80,2049.70,0.00,3130.80,0.00,0.00,,Не присвоен,Не имеется,Не имеется,нет,нет
